epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,17151.8,0.53078,0.96404,0.43031,0.85629,0,0.92834,0.87873,0.93158,0.82476,0.9158,0.84841,0.90252,0.67636,0.45351,0.86806,0.32935,0.78702,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17548,0.52889,0.96033,0.43075,0.85599,0,0.93046,0.87889,0.93198,0.82531,0.91464,0.85057,0.90309,0.67738,0.45224,0.86566,0.32811,0.78698,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17945.2,0.52786,0.95688,0.42552,0.85477,0,0.9319,0.87771,0.93203,0.82555,0.91604,0.85053,0.90352,0.67719,0.4527,0.867,0.32728,0.78736,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18341.7,0.5263,0.95622,0.42463,0.85491,0,0.93126,0.87965,0.93234,0.82546,0.9115,0.85432,0.9036,0.67754,0.4525,0.86508,0.32602,0.78721,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18738.9,0.52436,0.95508,0.42102,0.85432,0,0.92849,0.88113,0.93228,0.82561,0.90868,0.85639,0.90406,0.6779,0.45275,0.86484,0.3261,0.78729,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19134.6,0.52339,0.95284,0.42168,0.85356,0,0.92968,0.8813,0.93236,0.82577,0.91125,0.85507,0.9039,0.67852,0.45209,0.86513,0.32471,0.78698,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19531.5,0.52217,0.95418,0.41808,0.8528,0,0.93007,0.88137,0.93291,0.82653,0.91302,0.85366,0.90425,0.67914,0.45127,0.86391,0.32355,0.78649,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19928,0.51873,0.93638,0.41098,0.8527,0,0.93089,0.88092,0.93328,0.82739,0.91472,0.85262,0.90463,0.68003,0.45018,0.86275,0.32142,0.78623,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20322.9,0.52078,0.94542,0.41549,0.85318,0,0.93259,0.87983,0.9332,0.82755,0.91624,0.85188,0.90462,0.68063,0.44915,0.8619,0.3206,0.78571,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20720.4,0.51727,0.93992,0.41169,0.85147,0,0.93167,0.88113,0.93349,0.82777,0.91776,0.85093,0.90484,0.68054,0.44843,0.86098,0.32009,0.7856,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21115.6,0.51522,0.93295,0.40738,0.85238,0,0.93271,0.88096,0.93358,0.82807,0.91643,0.85302,0.9052,0.6813,0.44816,0.86085,0.31925,0.7855,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21512.4,0.50785,0.92305,0.40578,0.84964,0,0.93178,0.88219,0.93385,0.82854,0.9152,0.85374,0.9053,0.68129,0.44804,0.86003,0.31886,0.7853,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21908,0.5036,0.92121,0.40251,0.84972,0,0.93191,0.88212,0.93397,0.82854,0.91468,0.85471,0.90509,0.68111,0.44809,0.85973,0.31882,0.78518,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22299.9,0.5006,0.91651,0.40057,0.84955,0,0.93387,0.88098,0.93405,0.82869,0.91519,0.85427,0.90511,0.6813,0.44797,0.85959,0.31799,0.78496,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22695.7,0.49943,0.91159,0.39786,0.84809,0,0.93426,0.88108,0.93402,0.82894,0.91416,0.85516,0.90511,0.68149,0.44757,0.85917,0.31763,0.78477,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23088.3,0.49594,0.90296,0.39573,0.8479,0,0.93287,0.88275,0.9341,0.82934,0.9137,0.85591,0.90498,0.68129,0.44693,0.85862,0.31715,0.78466,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23481,0.49642,0.90992,0.39523,0.84909,0,0.93256,0.88361,0.93434,0.82961,0.91385,0.85637,0.90503,0.68143,0.44674,0.85837,0.31634,0.78464,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23874.7,0.49303,0.8986,0.39218,0.84709,0,0.93274,0.88354,0.93439,0.82974,0.91496,0.85484,0.90532,0.6813,0.44638,0.85772,0.3157,0.78469,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24271.4,0.4907,0.89454,0.38856,0.84732,0,0.93385,0.88297,0.93472,0.83013,0.91608,0.85437,0.90538,0.68147,0.44582,0.85694,0.31494,0.78461,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24666.5,0.49014,0.89136,0.38737,0.84704,0,0.93443,0.88278,0.93476,0.83044,0.91752,0.85317,0.9053,0.68166,0.44518,0.85593,0.31359,0.78446,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25062.8,0.4863,0.89395,0.38379,0.8455,0,0.93617,0.88098,0.93491,0.83078,0.91659,0.85458,0.90566,0.68194,0.44452,0.85504,0.31271,0.78439,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25458.1,0.48446,0.87947,0.38046,0.84419,0,0.93715,0.88067,0.93496,0.83126,0.91767,0.85424,0.90568,0.68264,0.44394,0.85398,0.31178,0.78424,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,25853.6,0.48612,0.8861,0.3815,0.84498,0,0.93771,0.88048,0.93508,0.83142,0.91827,0.85443,0.90588,0.68302,0.44337,0.85331,0.31116,0.78415,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26247.8,0.4829,0.87463,0.38033,0.84332,0,0.93742,0.88127,0.9352,0.83179,0.91741,0.8552,0.90594,0.68309,0.44267,0.85263,0.3103,0.78403,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26650,0.48099,0.871,0.37789,0.84461,0,0.93746,0.88158,0.93535,0.83222,0.91752,0.85537,0.90616,0.68342,0.44198,0.8522,0.30979,0.78395,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27045.7,0.47857,0.87256,0.37317,0.84231,0,0.93736,0.88184,0.93542,0.83246,0.91822,0.85527,0.90648,0.68389,0.44137,0.85089,0.30914,0.7839,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27443.7,0.47542,0.87071,0.37043,0.84258,0,0.93819,0.88133,0.93557,0.83284,0.91794,0.85568,0.90636,0.68418,0.44085,0.85019,0.30862,0.78374,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27858.1,0.47486,0.86965,0.36815,0.84241,0,0.93831,0.88129,0.93558,0.83311,0.91826,0.85575,0.90665,0.6845,0.44041,0.84956,0.30792,0.78366,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28271,0.47359,0.86348,0.36714,0.84125,0,0.93802,0.88154,0.93572,0.83334,0.91806,0.85553,0.90656,0.68455,0.43993,0.84883,0.30736,0.78358,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28666.7,0.47381,0.86129,0.36623,0.84209,0,0.93767,0.88175,0.93585,0.83357,0.91813,0.8558,0.9067,0.68503,0.43936,0.84774,0.30701,0.78345,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,29062.7,0.47059,0.85509,0.35943,0.84008,0,0.93857,0.88171,0.93593,0.83382,0.91883,0.85561,0.90683,0.68512,0.439,0.84709,0.30652,0.78333,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29460.2,0.46987,0.85596,0.35869,0.84003,0,0.93819,0.88206,0.93602,0.83393,0.91788,0.85639,0.90684,0.6853,0.43871,0.84686,0.30637,0.78327,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29857.7,0.46824,0.85363,0.35785,0.84072,0,0.9394,0.88146,0.93601,0.83413,0.91813,0.85646,0.90725,0.68565,0.4384,0.84623,0.30598,0.78318,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,30255.4,0.46732,0.84717,0.35582,0.83998,0,0.93899,0.8819,0.93611,0.83427,0.91857,0.856,0.90728,0.68583,0.43789,0.84545,0.30551,0.78314,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30653.4,0.46539,0.84961,0.35269,0.83918,0,0.93818,0.88276,0.93611,0.83451,0.91785,0.85661,0.90728,0.68616,0.43754,0.84461,0.30521,0.78314,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,31052.3,0.46448,0.8513,0.35245,0.83858,0,0.93703,0.88382,0.93607,0.83463,0.91783,0.85685,0.90725,0.68667,0.43727,0.84383,0.30486,0.78313,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31449.7,0.46362,0.83988,0.3503,0.83809,0,0.93689,0.88413,0.9361,0.83494,0.91769,0.8573,0.90734,0.68704,0.43684,0.84302,0.30464,0.78309,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,31847.6,0.46055,0.83705,0.34593,0.83783,0,0.93749,0.88423,0.9364,0.83504,0.91735,0.85769,0.90736,0.68727,0.43634,0.84214,0.30423,0.78306,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,32245.4,0.46289,0.8411,0.34596,0.83818,0,0.93648,0.88466,0.93633,0.8353,0.91712,0.85786,0.9074,0.68713,0.43582,0.84171,0.30398,0.7829,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32644.1,0.46024,0.83721,0.34287,0.83767,0,0.9363,0.88526,0.93635,0.83545,0.91665,0.85826,0.90741,0.68728,0.43527,0.84084,0.30369,0.78281,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,33042.8,0.45834,0.8345,0.34141,0.83823,0,0.9366,0.88516,0.93646,0.83569,0.91662,0.85831,0.90748,0.68754,0.43476,0.84012,0.30337,0.78276,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33441.7,0.45812,0.83635,0.34011,0.83789,0,0.9359,0.88615,0.9366,0.83589,0.91655,0.85837,0.9077,0.68774,0.43419,0.8392,0.30306,0.78263,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33840.4,0.45486,0.8238,0.33603,0.8365,0,0.93671,0.88556,0.93672,0.83616,0.91674,0.85889,0.90798,0.68794,0.43369,0.83834,0.30275,0.78257,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34238,0.45508,0.82645,0.33558,0.83652,0,0.93632,0.88587,0.93668,0.83631,0.91736,0.85872,0.90821,0.68833,0.4333,0.83752,0.30246,0.78256,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34636.3,0.45348,0.82295,0.33217,0.83585,0,0.93667,0.88586,0.93684,0.83652,0.91733,0.85879,0.90817,0.6887,0.43276,0.83654,0.30206,0.78246,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,35033.3,0.45067,0.82009,0.32975,0.83452,0,0.9371,0.88557,0.93687,0.83686,0.9174,0.8586,0.9082,0.68913,0.43228,0.83561,0.30163,0.78242,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35430.6,0.4494,0.82023,0.32724,0.83512,0,0.93763,0.88557,0.93688,0.83697,0.91813,0.85842,0.90838,0.68935,0.43185,0.83478,0.30141,0.78236,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35827.8,0.44885,0.81312,0.32392,0.8348,0,0.93726,0.88604,0.93711,0.83727,0.91842,0.85852,0.90856,0.6895,0.43142,0.834,0.30101,0.7823,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,36235.4,0.43135,0.79553,0.29408,0.8135,0,0.93689,0.88658,0.93707,0.8374,0.91803,0.85921,0.90889,0.68993,0.43107,0.83331,0.3005,0.7823,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36622.8,0.42734,0.78939,0.28894,0.81302,0,0.93691,0.88616,0.93707,0.83785,0.91791,0.85964,0.90916,0.69031,0.43069,0.83265,0.30036,0.78227,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,37013.8,0.42642,0.78194,0.28563,0.81295,0,0.93711,0.88646,0.93714,0.83795,0.9175,0.85996,0.90922,0.69055,0.43029,0.8318,0.3001,0.78224,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,37403.6,0.4226,0.78319,0.28199,0.81215,0,0.93744,0.88626,0.9371,0.83811,0.91783,0.85961,0.90909,0.69096,0.42983,0.83108,0.29989,0.78219,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,37794.1,0.4205,0.77714,0.28064,0.81163,0,0.93782,0.88634,0.93725,0.8383,0.91821,0.85987,0.90926,0.69132,0.42949,0.8303,0.29953,0.78213,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,38184.7,0.41877,0.77099,0.27781,0.81035,0,0.9371,0.88716,0.9373,0.83848,0.91869,0.8591,0.90922,0.69154,0.42909,0.82989,0.29912,0.78212,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38575.1,0.41708,0.76956,0.27471,0.81031,0,0.93694,0.88736,0.93735,0.83853,0.91891,0.85938,0.90906,0.69173,0.42865,0.82935,0.29887,0.78203,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,38965.7,0.41448,0.76614,0.27319,0.8091,0,0.9373,0.88701,0.93732,0.83883,0.91957,0.85906,0.9091,0.69206,0.4283,0.82892,0.29858,0.782,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,39355.9,0.41392,0.76313,0.26993,0.80951,0,0.9378,0.88709,0.93731,0.83898,0.91938,0.85902,0.90918,0.6925,0.42804,0.82853,0.29855,0.78196,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,39745.7,0.41266,0.76166,0.26838,0.8085,0,0.93797,0.88682,0.93733,0.83911,0.9197,0.85905,0.9093,0.69244,0.42768,0.828,0.29842,0.78192,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
